AT,V,AP,RH,PE,PE_Class,AT_V,AT_AP,V_RH,AP_RH
0.3725212464589236,0.291814946619217,0.836645101663585,0.6088264067538678,463.26,3,0.10870726764993496,0.31166807611547154,0.1776646453872496,0.5093716309740649
0.6620396600566573,0.6690391459074733,0.7124922982131849,0.4046161092793215,444.37,2,0.4429304487211799,0.4716981589020434,0.2707040161726421,0.288285861594501
0.0934844192634561,0.2498220640569394,0.4697319778188529,0.8837639044892931,488.56,5,0.02335447057756091,0.04391262115587011,0.22078372275853506,0.41513216678066744
0.5396600566572238,0.5686832740213522,0.410582255083181,0.6591180839885502,446.48,2,0.3068956478783785,0.2215748430406402,0.37482942996928936,0.27062218929012444
0.2552407932011332,0.2160142348754448,0.3794670363524339,0.9486937932533788,473.9,4,0.05513564465234442,0.09685546735227847,0.20493136388071204,0.3599980221318083
0.6929178470254957,0.6064056939501777,0.4718884781269281,0.4001231928693068,443.67,2,0.42018932787595886,0.3269799482998487,0.2426369824374728,0.1888135245463845
0.3988668555240794,0.3309608540925267,0.5270332717190414,0.6388274937497733,467.35,4,0.13200931517344977,0.21021610384714176,0.21142689294921324,0.3366833440950185
0.2172804532577904,0.344306049822064,0.6841497227356754,0.5111417080328998,478.42,4,0.07481097456473743,0.14865236185219918,0.17598918239211048,0.34969745782934797
0.3634560906515581,0.3494661921708185,0.7660967344423923,0.1462009493097574,475.98,4,0.12701561602129183,0.2784425241613568,0.051092289047039774,0.11200406983858288
0.2813031161473088,0.3238434163701068,0.5615372766481848,0.5733178738360085,477.5,4,0.09109816216870142,0.15796218575400778,0.18566521892909885,0.3219393575275998
0.4583569405099151,0.3266903914590746,0.361290819470117,0.635928838001377,453.02,3,0.1497408083231679,0.16560015464664288,0.2077518410267843,0.22975525100619676
0.5192634560906516,0.3838078291814946,0.5467498459642641,0.4791115620131163,453.99,3,0.19929737985543333,0.2839072146324352,0.1838867685520092,0.2619541727303693
0.638243626062323,0.8565836298932384,0.443545902649415,0.7679626073408456,440.29,2,0.5467090419686873,0.28309034523204873,0.6578241978182974,0.34062666787399365
0.6770538243626063,0.5912811387900355,0.4885243376463357,0.444472625819776,451.28,3,0.4003291562912705,0.33075727109766073,0.26280828035571446,0.21713569513053366
0.6906515580736545,0.7825622775800712,0.3871688231669772,0.8178194862132686,433.99,1,0.540477856300344,0.267398750957816,0.6399946797804191,0.31663420804021314
0.5555240793201134,0.3279359430604982,0.5806377079482452,0.1727236494075871,462.19,3,0.1821763128446564,0.3225582281264898,0.05664229285732794,0.10028986390047766
0.4645892351274789,0.3494661921708185,0.7993684534812111,0.2562049349614116,467.54,4,0.16235823092355312,0.37137797838787157,0.08953496303633672,0.20480214263435786
0.2614730878186969,0.291459074733096,0.7913585951940867,0.6717272364940758,477.2,4,0.07620870424324296,0.20691897545726404,0.1957809988215829,0.5315771222255579
0.3580736543909348,0.4873665480427046,0.8335643869377733,0.4699807964056668,459.85,3,0.17451312088554632,0.2984774462009477,0.22905291839059097,0.39175925442841614
0.3444759206798867,0.2332740213523131,0.5618453481207659,0.3495416500597846,464.3,3,0.0803572832760376,0.1935421935736123,0.08153898633956895,0.1963883500605466
0.4518413597733712,0.30355871886121,0.3751540357362941,0.5086778506467626,468.27,4,0.13716038430131164,0.169510109631555,0.1544135966554052,0.19083254855979684
0.1019830028328612,0.2617437722419928,0.6853820086260036,0.4870828653212071,495.24,5,0.02669341586603893,0.06989731532729783,0.12749090656361128,0.3338378326011581
0.1685552407932011,0.301067615658363,0.3575939617991395,0.7557882531975797,483.8,5,0.0507465244523303,0.06027433633724872,0.22754336733279446,0.27026531574217366
0.7201133144475922,0.68576512455516,0.5356592729513245,0.2322910250371389,443.61,2,0.4938285967759822,0.3857353744595658,0.15929708371763934,0.12442884158451174
0.7237960339943343,0.4135231316725979,0.1930837954405397,0.3444690025000905,436.06,2,0.2993064026695433,0.13975328536843595,0.14244590067797339,0.06651138241433423
0.7269121813031162,0.8071174377224198,0.402264325323479,0.6298416609297439,443.25,2,0.5867034972225862,0.29241083818131647,0.5083561875404481,0.2533628307945229
0.3623229461756374,0.248220640569395,0.4373844731977847,0.5994057755715785,464.16,3,0.08993603379270713,0.15847443094050045,0.14878488557337222,0.26217077938008443
0.1728045325779037,0.2597864768683274,0.8212415280345091,0.8301387731439545,475.52,4,0.04489228070529171,0.14191425838556676,0.2156588271868636,0.6817444345374338
0.113314447592068,0.1855871886120996,0.4691158348736906,0.8857929635131707,484.41,5,0.021029709757745,0.05315760168540404,0.16439182579078948,0.4155395056037216
0.8135977337110483,0.708540925266904,0.4860597658656829,0.1548969165549475,437.89,2,0.5764672910386823,0.39545712395644234,0.10975080457683292,0.075289158994014
0.624929178470255,0.686476868327402,0.6810690080098603,0.1901155838979672,445.11,2,0.4289994253626767,0.42561989565715347,0.13050995065451199,0.1294818321326039
0.6878186968838528,0.5880782918149464,0.5153265557609394,0.4843291423602304,438.86,2,0.40449124434183853,0.35445124005313344,0.28482345471540227,0.24958766878714725
0.7779036827195468,0.738256227758007,0.4373844731977847,0.4650530816333924,440.98,2,0.5742922383635942,0.3402429924649056,0.34332833375390476,0.20340699711922766
0.7243626062322946,0.8683274021352311,0.4056531115218753,0.6876698431102575,436.65,2,0.6289839000735937,0.29383994508822525,0.5971225683946718,0.27895541155743575
0.651558073654391,0.686476868327402,0.6730591497227358,0.1934490380086233,444.26,2,0.447279545935701,0.4385371230488081,0.13279828979310826,0.1302026450367652
0.309915014164306,0.3322064056939502,0.3197011706715962,0.8449219174607774,465.86,4,0.10295575292611377,0.09908019283703295,0.28068847329168534,0.2701225261383003
0.6473087818696884,0.6827402135231316,0.4463185459026491,0.6283923330555454,444.37,2,0.4419437359491093,0.2889059142740944,0.4290287156466419,0.2804631523457242
0.4127478753541077,0.3930604982206406,0.4056531115218753,0.8362259502155875,450.69,3,0.16223488552619642,0.1674324599114369,0.32868738861676744,0.33921765864028985
0.3427762039660057,0.248932384341637,0.5476740603820112,0.6427406790101091,469.02,4,0.0853280977488331,0.1877296354283948,0.1599989697393492,0.35201239744615737
0.6053824362606233,0.4615658362989323,0.4660351201478754,0.6881046414725172,448.86,2,0.27942385047331963,0.2821294764181331,0.31760559430243934,0.32068092926295527
0.5852691218130311,0.3930604982206406,0.3298675292667923,0.6592630167759701,447.14,2,0.23004617261298682,0.19306127916860988,0.25913024983240535,0.2174694624808611
0.3280453257790369,0.346797153024911,0.6262322858903282,0.7141925432080871,469.18,4,0.11376518504329944,0.20543257423824368,0.24767994069618535,0.4472504288990274
0.211614730878187,0.2879003558718861,0.6598120764017281,0.7062212398999963,482.8,5,0.06092395632756344,0.13962595497792946,0.2033213462914936,0.46597330269741954
0.2835694050991502,0.3113879003558718,0.5301139864448565,0.827819848545237,476.7,4,0.08830008165898803,0.15032410777090693,0.25777308451141717,0.438838879970493
0.2396600566572238,0.2718861209964412,0.7306685150955055,0.7744845827747382,474.99,4,0.06516024316231991,0.17511205772543842,0.21057160898217075,0.56589150006038
0.5980169971671389,0.686476868327402,0.6890788662969811,0.1670712706982136,444.22,2,0.4105248354218543,0.412080874434257,0.1146905626963893,0.11512528180352107
0.4019830028328612,0.2225978647686832,0.7186537276648188,0.6847711873618609,461.33,3,0.08948055810389843,0.28888658344373314,0.15242860416186615,0.4921133663950654
0.5498583569405099,0.3215302491103202,0.4327634011090602,0.4334577339758686,448.06,2,0.1767960944824735,0.23795857267781467,0.13936977318405594,0.18758464319242313
0.3300283286118981,0.344306049822064,0.5421287738755396,0.2730171383021122,474.6,4,0.1136307501537407,0.178917853134562,0.09400145242252438,0.1480104464347327
0.2147308781869689,0.2624555160142349,0.9928373382624828,0.6685387151708395,473.05,4,0.056357303438750735,0.21319283354191562,0.17546167346565628,0.6637501984956364
0.8288951841359774,0.8565836298932384,0.4210566851509583,0.1811297510779375,432.06,1,0.7100180456282198,0.3490118585698878,0.1551527796599984,0.07626589257109458
0.3118980169971672,0.2359430604982205,0.67151879235983,0.7628899597811514,467.41,4,0.07359017269363763,0.20944537971336344,0.1799985919341292,0.512294944495678
0.8713881019830029,0.9530249110320284,0.4524799753542829,0.511721439182579,430.12,1,0.8304545683667194,0.3942856669092845,0.4876832790501588,0.2315437041895915
0.178470254957507,0.299288256227758,0.5516789895255734,0.8975325192941774,473.62,4,0.053414051394755656,0.09845828991532891,0.26862094260726094,0.495149833310554
0.3430594900849859,0.249644128113879,0.4937615526802261,0.7153520055074458,471.81,4,0.08564278729345821,0.16938958648604927,0.1785834277094211,0.3532133169522701
0.6014164305949009,0.6062277580071175,0.4102741836105998,0.5482445016123771,442.99,2,0.36459533434818997,0.24674563507232394,0.3323610350522009,0.2249305653180182
0.7223796033994334,0.6953736654804269,0.546441774491683,0.3783832747563317,442.77,2,0.5023237526841611,0.3947383923381846,0.2631177647237979,0.20676442809582393
0.1161473087818697,0.2485765124555159,0.4087338262476905,0.9328961194246168,491.49,5,0.028871492948091083,0.047473333926785585,0.2318960638498557,0.38130620038404606
0.6643059490084987,0.6355871886120995,0.5165588416512641,0.5878111525779919,447.46,2,0.4222243505086044,0.3431531115218738,0.3736052379018837,0.30363904808538195
0.7410764872521247,0.595729537366548,0.1644331484904491,0.3872241747889415,446.11,2,0.44148115290393475,0.12185754007110904,0.23068087850415944,0.06367249023216164
0.6875354107648726,0.4793594306049821,0.3116913123844718,0.466357476720171,442.44,2,0.3295765830250118,0.21429881449210003,0.22355285449895737,0.14535957395922086
0.7705382436260624,0.7179715302491102,0.5144023413431924,0.2450451103300843,446.22,2,0.5532245218916657,0.3963666766157177,0.17593541284375266,0.12605177848849627
0.2937677053824363,0.2622775800711744,0.6086722119531736,0.8798507192289575,471.49,4,0.0770486828707671,0.17880823903553572,0.2307651174632533,0.5355406834616803
0.3385269121813031,0.3649466192170818,0.3689926062846602,0.8131816370158338,463.5,3,0.12354425211456452,0.12491392762327731,0.29676788923834074,0.300058011625299
0.6711048158640227,0.5948398576512456,0.5886475662353661,0.4817203521866734,440.01,2,0.39919989313762066,0.39504421654719046,0.2865464657224287,0.28356351292072873
0.7492917847025496,0.711387900355872,0.543669131238449,0.1773614986050218,441.03,2,0.5330371094734508,0.4073668136333421,0.12617282409659736,0.09642597186174157
0.5546742209631729,0.6690391459074733,0.6955483672211962,0.5953476575238232,452.68,3,0.37109876705009426,0.38580274873062387,0.3983108883077536,0.41409309111965914
0.1543909348441926,0.2727758007117437,0.7245070856438716,0.8559368093046849,474.91,4,0.04211411087475929,0.11185732625379885,0.23347884851674047,0.6201322832046515
0.2473087818696884,0.154270462633452,0.67151879235983,0.6208558281097141,478.77,4,0.0381524401923523,0.16607249454111378,0.09577971583116054,0.41691635592179743
0.7337110481586403,0.8715302491103202,0.0378157732593962,0.5896952788144496,434.2,1,0.6394513725766939,0.02774585063508107,0.513937273244337,0.02229978295578365
0.603399433427762,0.7640569395017792,0.6444085027726452,0.8037610058335447,437.91,2,0.4610315244019234,0.3888357254690465,0.6141191742080498,0.5179504263562299
0.1614730878186969,0.2784697508896796,0.8532809611829926,0.9601434834595456,477.61,4,0.04496537054025989,0.13778191157912345,0.26737091665732887,0.8192721544399478
0.698300283286119,0.8774021352313167,0.6080560690080112,0.7721656581760208,431.65,1,0.6126901595878742,0.4246057252421382,0.6774997972359357,0.4695200147334949
0.779886685552408,0.8715302491103202,0.0513709180529886,0.7302800826116889,430.57,1,0.6796948373373121,0.04006349501412964,0.6364611823188704,0.037515158279574815
0.2410764872521247,0.301067615658363,0.3668361059765885,0.6449146708214064,481.09,5,0.07258032320829091,0.0884355598260841,0.19416292224729886,0.23657798653129813
0.5929178470254958,0.6345195729537366,0.3896333949476265,0.6992644661038443,445.56,2,0.37621797909126653,0.2310205936615814,0.4436969904139339,0.27245678789428035
